key_norm,key_type,raw_value,source
aborrecimento,title,aborrecimento,OBRAS/FONOGRAMAS/Eligible
above your head,title,above your head,OBRAS/FONOGRAMAS/Eligible
abraao - o pai da fe,title,abraao - o pai da fe,OBRAS/FONOGRAMAS/Eligible
abraco,title,abraco,OBRAS/FONOGRAMAS/Eligible
abraco do tempo,title,abraco do tempo,OBRAS/FONOGRAMAS/Eligible
abro a geladeira,title,abro a geladeira,OBRAS/FONOGRAMAS/Eligible
absurdo,title,absurdo,OBRAS/FONOGRAMAS/Eligible
abyss of lost souls,title,abyss of lost souls,OBRAS/FONOGRAMAS/Eligible
acabar o estresse,title,acabar o estresse,OBRAS/FONOGRAMAS/Eligible
acabou,title,acabou,OBRAS/FONOGRAMAS/Eligible
acabou a agua,title,acabou a agua,OBRAS/FONOGRAMAS/Eligible
academia alpha,title,academia alpha,OBRAS/FONOGRAMAS/Eligible
acai nordeste,title,acai nordeste,OBRAS/FONOGRAMAS/Eligible
acaiteria e sorveteria vegas,title,acaiteria e sorveteria vegas,OBRAS/FONOGRAMAS/Eligible
acalanto e paixao,title,acalanto e paixao,OBRAS/FONOGRAMAS/Eligible
acampamento,title,acampamento,OBRAS/FONOGRAMAS/Eligible
aceitar e o caralho,title,aceitar e o caralho,OBRAS/FONOGRAMAS/Eligible
acender ii,title,acender ii,OBRAS/FONOGRAMAS/Eligible
acendeu,title,acendeu,OBRAS/FONOGRAMAS/Eligible
acid for blood,title,acid for blood,OBRAS/FONOGRAMAS/Eligible
acoite do vento,title,acoite do vento,OBRAS/FONOGRAMAS/Eligible
aconchegos,title,aconchegos,OBRAS/FONOGRAMAS/Eligible
acordei safada,title,acordei safada,OBRAS/FONOGRAMAS/Eligible
acordes e sons,title,acordes e sons,OBRAS/FONOGRAMAS/Eligible
acreditam em tudo,title,acreditam em tudo,OBRAS/FONOGRAMAS/Eligible
acreditei,title,acreditei,OBRAS/FONOGRAMAS/Eligible
acucar,title,acucar,OBRAS/FONOGRAMAS/Eligible
acude negro,title,acude negro,OBRAS/FONOGRAMAS/Eligible
acustico altamira #11 - escorpiana,title,acustico altamira #11 - escorpiana,OBRAS/FONOGRAMAS/Eligible
acustico altamira #13 - amor,title,acustico altamira #13 - amor,OBRAS/FONOGRAMAS/Eligible
ad astra,title,ad astra,OBRAS/FONOGRAMAS/Eligible
adao: reflexo divino,title,adao: reflexo divino,OBRAS/FONOGRAMAS/Eligible
addicted to mosh,title,addicted to mosh,OBRAS/FONOGRAMAS/Eligible
adelaide sua boba,title,adelaide sua boba,OBRAS/FONOGRAMAS/Eligible
adepto,title,adepto,OBRAS/FONOGRAMAS/Eligible
adestramento,title,adestramento,OBRAS/FONOGRAMAS/Eligible
adeus,title,adeus,OBRAS/FONOGRAMAS/Eligible
adios sophia,title,adios sophia,OBRAS/FONOGRAMAS/Eligible
admiracao,title,admiracao,OBRAS/FONOGRAMAS/Eligible
aereo,title,aereo,OBRAS/FONOGRAMAS/Eligible
aeroxota,title,aeroxota,OBRAS/FONOGRAMAS/Eligible
afinacao viola caipira,title,afinacao viola caipira,OBRAS/FONOGRAMAS/Eligible
afonsina,title,afonsina,OBRAS/FONOGRAMAS/Eligible
afonsinha,title,afonsinha,OBRAS/FONOGRAMAS/Eligible
"afrocypher, vol. 7",title,"afrocypher, vol. 7",OBRAS/FONOGRAMAS/Eligible
afrokalipse,title,afrokalipse,OBRAS/FONOGRAMAS/Eligible
"afrokalipse, o retorno",title,"afrokalipse, o retorno",OBRAS/FONOGRAMAS/Eligible
afronauta,title,afronauta,OBRAS/FONOGRAMAS/Eligible
afrorregaeton a brasileira,title,afrorregaeton a brasileira,OBRAS/FONOGRAMAS/Eligible
after do bruxo,title,after do bruxo,OBRAS/FONOGRAMAS/Eligible
after nuclear devastation,title,after nuclear devastation,OBRAS/FONOGRAMAS/Eligible
aftermatch,title,aftermatch,OBRAS/FONOGRAMAS/Eligible
agacha e sobe,title,agacha e sobe,OBRAS/FONOGRAMAS/Eligible
again and again,title,again and again,OBRAS/FONOGRAMAS/Eligible
against the tide,title,against the tide,OBRAS/FONOGRAMAS/Eligible
agda,title,agda,OBRAS/FONOGRAMAS/Eligible
agda - remix,title,agda - remix,OBRAS/FONOGRAMAS/Eligible
ago,title,ago,OBRAS/FONOGRAMAS/Eligible
agonia,title,agonia,OBRAS/FONOGRAMAS/Eligible
agora,title,agora,OBRAS/FONOGRAMAS/Eligible
agora cresceu,title,agora cresceu,OBRAS/FONOGRAMAS/Eligible
agora e cachorra safada,title,agora e cachorra safada,OBRAS/FONOGRAMAS/Eligible
agora e que sao elas,title,agora e que sao elas,OBRAS/FONOGRAMAS/Eligible
agora e tarde demais,title,agora e tarde demais,OBRAS/FONOGRAMAS/Eligible
agora fudeu,title,agora fudeu,OBRAS/FONOGRAMAS/Eligible
agora o pau vai torar,title,agora o pau vai torar,OBRAS/FONOGRAMAS/Eligible
agora vai,title,agora vai,OBRAS/FONOGRAMAS/Eligible
agradece,title,agradece,OBRAS/FONOGRAMAS/Eligible
agressao repressao,title,agressao repressao,OBRAS/FONOGRAMAS/Eligible
agressividade,title,agressividade,OBRAS/FONOGRAMAS/Eligible
agridoce,title,agridoce,OBRAS/FONOGRAMAS/Eligible
agua no feijao,title,agua no feijao,OBRAS/FONOGRAMAS/Eligible
aguas para o pantanal,title,aguas para o pantanal,OBRAS/FONOGRAMAS/Eligible
ah vida avida,title,ah vida avida,OBRAS/FONOGRAMAS/Eligible
ahh eu vou te botar,title,ahh eu vou te botar,OBRAS/FONOGRAMAS/Eligible
ahhhh eu vou me ma rave funk,title,ahhhh eu vou me ma rave funk,OBRAS/FONOGRAMAS/Eligible
ai ai ai,title,ai ai ai,OBRAS/FONOGRAMAS/Eligible
ai ai voce mete bem demais,title,ai ai voce mete bem demais,OBRAS/FONOGRAMAS/Eligible
ai amor,title,ai amor,OBRAS/FONOGRAMAS/Eligible
ai calica,title,ai calica,OBRAS/FONOGRAMAS/Eligible
ai calica - remix brega funk,title,ai calica - remix brega funk,OBRAS/FONOGRAMAS/Eligible
ai caramba,title,ai caramba,OBRAS/FONOGRAMAS/Eligible
ai do nada ela quer sentar e nao para,title,ai do nada ela quer sentar e nao para,OBRAS/FONOGRAMAS/Eligible
ai droga,title,ai droga,OBRAS/FONOGRAMAS/Eligible
ai meu deus,title,ai meu deus,OBRAS/FONOGRAMAS/Eligible
ai meu ovo,title,ai meu ovo,OBRAS/FONOGRAMAS/Eligible
ai minha bucetinha,title,ai minha bucetinha,OBRAS/FONOGRAMAS/Eligible
ai minha porroquinha,title,ai minha porroquinha,OBRAS/FONOGRAMAS/Eligible
ai que vontade de meter,title,ai que vontade de meter,OBRAS/FONOGRAMAS/Eligible
ai vem vai,title,ai vem vai,OBRAS/FONOGRAMAS/Eligible
"ai, ui, ai maconha, cocaina, lolo e tudo",title,"ai, ui, ai maconha, cocaina, lolo e tudo",OBRAS/FONOGRAMAS/Eligible
ailin aleixo,title,ailin aleixo,OBRAS/FONOGRAMAS/Eligible
