EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,__title_norm,__author_norm,__is_match,__sheet
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),799,REPRISE,PROGRAMA,28/01/2024,TETO DE VIDRO,PITTY,LEANDRO LOURENÇO SALERNO,FUNDO MUSICAL,100.00%,781.92,teto de vidro,leandro lourenco salerno,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA SILVIO SANTOS (REPRISE),786,REPRISE,PROGRAMA,28/01/2024,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,DJMIRORIZZO,FUNDO MUSICAL,50.00%,390.96,felicidade,djmirorizzo,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),786,REPRISE,PROGRAMA,28/01/2024,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,DJMIRORIZZO,FUNDO MUSICAL,25.00%,195.48,felicidade,djmirorizzo,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),786,REPRISE,PROGRAMA,28/01/2024,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,DJMIRORIZZO,FUNDO MUSICAL,25.00%,195.48,felicidade,djmirorizzo,True,Relatório Solicitação
DIVERSAS,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,DEJA VU,BEYONCE / RODNEY JERKINS / MAKEBA RIDDICK / JON WEBB / SHAWN CARTER / KELI PRICE / DELISHA THOMAS,LILI BEY,PERFORMANCE,5.82%,22.75,deja vu,lili bey,True,Relatório Solicitação
ABRAMUS DIGITAL SERV. IDENT. REPERTÓRIO,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,DEJA VU,BEYONCE / RODNEY JERKINS / MAKEBA RIDDICK / JON WEBB / SHAWN CARTER / KELI PRICE / DELISHA THOMAS,LILI BEY,PERFORMANCE,5.84%,22.83,deja vu,lili bey,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,DEJA VU,BEYONCE / RODNEY JERKINS / MAKEBA RIDDICK / JON WEBB / SHAWN CARTER / KELI PRICE / DELISHA THOMAS,LILI BEY,PERFORMANCE,88.34%,345.37,deja vu,lili bey,True,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,LISTEN,ANNE PREVEN / BEYONCE / HENRY KRIEGER / SCOTT MICHAEL CUTLER,LILI BEY,PERFORMANCE,75.86%,296.58,listen,lili bey,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,LISTEN,ANNE PREVEN / BEYONCE / HENRY KRIEGER / SCOTT MICHAEL CUTLER,LILI BEY,PERFORMANCE,24.14%,94.38,listen,lili bey,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),789,REPRISE,PROGRAMA,14/01/2024,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,BALÉ PROGRAMA SILVIO SANTOS,PERFORMANCE,75.00%,293.22,brisa,bale programa silvio santos,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),789,REPRISE,PROGRAMA,14/01/2024,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,BALÉ PROGRAMA SILVIO SANTOS,PERFORMANCE,25.00%,97.74,brisa,bale programa silvio santos,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),798,REPRISE,PROGRAMA,14/01/2024,SÓ VOCÊ,VINICIUS CANTUARIA,FABIO JUNIOR,FUNDO MUSICAL,100.00%,781.92,so voce,fabio junior,True,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE (REPRISE),2495,REPRISE,PROGRAMA,17/01/2024,FLY AWAY,LENY KRAVITZ,ULTRAJE A RIGOR,PERFORMANCE,100.00%,390.96,fly away,ultraje a rigor,True,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA RAUL GIL (REPRISE),688,REPRISE,PROGRAMA,06/01/2024,ERA UMA VEZ,KELL SMITH,LARA E KELL SMITH,PERFORMANCE,100.00%,390.96,era uma vez,lara e kell smith,True,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO (REPRISE),3471,REPRISE,PROGRAMA,12/01/2024,ESSE CARA SOU EU,ROBERTO CARLOS,FABIANO JUFFU,PERFORMANCE,100.00%,390.96,esse cara sou eu,fabiano juffu,True,Relatório Solicitação
THIAGO ABDULAHAD NUNES RIOS ME,PROGRAMA SILVIO SANTOS (REPRISE),806,REPRISE,PROGRAMA,28/01/2024,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,33.33%,130.31,malvada,lucas guedez,True,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),806,REPRISE,PROGRAMA,28/01/2024,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,66.67%,260.65,malvada,lucas guedez,True,Relatório Solicitação
DIVERSAS,DOMINGO LEGAL,1566,GRAVADO,PROGRAMA,14/01/2024,DEIXE QUEIMAR,Henrique Mendonça / Henrique Mendonça,HENRIQUE MENDONÇA,FUNDO MUSICAL,100.00%,1673.31,deixe queimar,henrique mendonca,True,Relatório Solicitação
PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,BALMAIN,MC DANIEL / VINICIUS DOS SANTOS LESSA,MC DANIEL,PERFORMANCE,100.00%,390.96,balmain,mc daniel,True,Relatório Solicitação
