PROGRAMA,Exibição,Música,Autor,Intérprete,Tipo,Sincronização,VOD,Total,Unnamed: 9,__title_norm,__author_norm,__is_match,__sheet
JOGO ABERTO,2024-02-12,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,62.7795,62.7795,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-01,CAMINHOS DO MAR,DANILO CAYMMI / DORIVAL CAYMMI / DUDU FALCAO,GAL COSTA,BK,0.0,104.6332,104.6332,,caminhos do mar,gal costa,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-05,MORENA,DIEGO NICOLAU / FRED CAMACHO / JOAO EDUARDO DE SALLES NOBRE,DUDU NOBRE,PE,0.0,52.3166,52.3166,,morena,dudu nobre,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-12,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,104.6332,104.6332,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-13,MACETANDO,IVETE SANGALO / LUCIANO CHAVES / SAMIR TRINDADE,IVETE SANGALO / LUDMILLA,BK,0.0,104.6332,104.6332,,macetando,ivete sangalo / ludmilla,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-14,ESSA E PRA VOCE,CLARICE FALCAO,CLARICE FALCAO,DM,0.0,73.2431,73.2431,,essa e pra voce,clarice falcao,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-16,TEMPORAL, LEANDRO LEHART,SAMBA 90 GRAUS,PE,0.0,52.3166,52.3166,,temporal,samba 90 graus,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-19,ORACAO ,LEO FRESSATO,A MELHOR BANDA DA CIDADE,PE,0.0,52.3166,52.3166,,oracao,a melhor banda da cidade,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-20,FORTALEZA,FERNANDO CATATAU,CIDADAO INSTIGADO,DM,0.0,73.2431,73.2431,,fortaleza,cidadao instigado,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-21,NHEENGATU,RENATO ROCHA LIMA,KURUP,DM,0.0,73.2431,73.2431,,nheengatu,kurup,True,Relatorio_UBEM
MELHOR DA NOITE,2024-02-27,UVA NIAGARA,ANELIS ASSUMPCAO / MARCELLE EQUIVOCADA / MARINA PERALTA,ANELIS ASSUMPCAO / LARISSA LUZ,DM,0.0,73.2431,73.2431,,uva niagara,anelis assumpcao / larissa luz,True,Relatorio_UBEM
