Mês Exibição,Gênero,Programa,Episódio,Capítulo,Data Exibição,Música,Autores da Música,Sincronismo TVG,Acervo Sim ou Não?,Autor,Editora,% do Autor,Interprete,Reprise,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
DEZ/2023,VARIEDADE SEMANAL,SHOW DA VIRADA,,2023,31/12/2023,TU TAVA NA REVOADA,"MC DANNY - A DESCOBRIR (50%)
MC TALIBA - A DESCOBRIR (50%)",PERFORMANCE,NÃO,MC DANNY,A DESCOBRIR,50,NATTAN,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,JORNALISMO,LEANDRO E LEONARDO 92,,9,02/12/2023,ENTRE TAPAS E BEIJOS,"ANTONIO BUENO - PEERMUSIC (50%)
NILTON LAMAS - PEERMUSIC (50%)",FUNDO,NÃO,NILTON LAMAS,PEERMUSIC,50,ANONIMO,Sim,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,JORNALISMO,LEANDRO E LEONARDO 92,,9,02/12/2023,ENTRE TAPAS E BEIJOS,"ANTONIO BUENO - PEERMUSIC (50%)
NILTON LAMAS - PEERMUSIC (50%)",FUNDO,NÃO,ANTONIO BUENO,PEERMUSIC,50,ANONIMO,Sim,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,JORNALISMO,LEANDRO E LEONARDO 92,,9,02/12/2023,TEMPORAL DE AMOR,CECILIO NENA - WARNER CHAPPELL (100%),PERFORMANCE,NÃO,CECILIO NENA,WARNER CHAPPELL,100,ANONIMO,Sim,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,DRAMATURGIA DIÁRIA,AMERICA,,6,03/12/2023,A VIDA DO VIAJANTE,"HERVE CORDOVIL - VITALE (50%)
LUIZ GONZAGA - VITALE (50%)",TEMA,NÃO,HERVE CORDOVIL,VITALE,50,LENINE,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,DRAMATURGIA DIÁRIA,AMERICA,,6,03/12/2023,A VIDA DO VIAJANTE,"HERVE CORDOVIL - VITALE (50%)
LUIZ GONZAGA - VITALE (50%)",TEMA,NÃO,LUIZ GONZAGA,VITALE,50,LENINE,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,DRAMATURGIA DIÁRIA,AMERICA,,6,03/12/2023,NERVOS DE ACO,LUPICINIO RODRIGUES - VITALE (100%),TEMA,NÃO,LUPICINIO RODRIGUES,VITALE,100,LEONARDO,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE DIÁRIA,BIG BROTHER BRASIL 5,,58,05/12/2023,A LUA Q EU T DEI,HERBERT VIANNA - SONY MUSIC PUBLISHING (100%),FUNDO,NÃO,HERBERT VIANNA,SONY MUSIC PUBLISHING,100,IVETE SANGALO,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,VARIEDADE DIÁRIA,BIG BROTHER BRASIL 5,,58,05/12/2023,IMPLICANTE,ANA CAROLINA - SONY MUSIC PUBLISHING (100%),FUNDO,NÃO,ANA CAROLINA,SONY MUSIC PUBLISHING,100,ANA CAROLINA,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
DEZ/2023,JORNALISMO,LEANDRO E LEONARDO 92,,10,09/12/2023,WHEN YOU WISH UPON A STAR,"LEIGH HARLINE - PEERMUSIC (50%)
NED WASHINGTON - PEERMUSIC (50%)",FUNDO,NÃO,LEIGH HARLINE,PEERMUSIC,50,MU CARVALHO,Não,,,,True,artist_alias,CanalInternacional_Dezembro2023
