EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,uncertain_match,Matched Title,Matched Identifier/ISWC,Uncertain Match,Eligibility Basis,__source_sheet
DIVERSAS,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,LET'S GO 3,DAVI JOSE XAVIER PAIVA / GABRIEL PORTO DOS SANTOS / GUILHERME SERGIO RAMOS DE SOUZA / LUCAS COSTA DOS SANTOS / MAKALO / PAULO ALEXANDRE MARQUES SANTOS / PEDRO HENRIQUE DE OLIVEIRA ROCHA / RYAN SANTANA DOS SANTOS,MC RYAN SP,FUNDO MUSICAL,37.50%,293.22,,,,True,artist_alias,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,LET'S GO 3,DAVI JOSE XAVIER PAIVA / GABRIEL PORTO DOS SANTOS / GUILHERME SERGIO RAMOS DE SOUZA / LUCAS COSTA DOS SANTOS / MAKALO / PAULO ALEXANDRE MARQUES SANTOS / PEDRO HENRIQUE DE OLIVEIRA ROCHA / RYAN SANTANA DOS SANTOS,MC RYAN SP,FUNDO MUSICAL,62.50%,488.7,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,FELINA,LIMA VINICIUS WILLIAM SALES DE / MC 2N SP / OLDILLA,MC RYAN SP,PERFORMANCE,66.67%,260.65,,,,True,artist_alias,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,FELINA,LIMA VINICIUS WILLIAM SALES DE / MC 2N SP / OLDILLA,MC RYAN SP,PERFORMANCE,33.33%,130.31,,,,True,artist_alias,Relatório Solicitação
IESSI MUSIC LABEL LTDA,PROGRAMA SILVIO SANTOS (REPRISE),790,REPRISE,PROGRAMA,21/01/2024,TEMPO DE ALEGRIA,GIGI / FILIPE ESCANDURRAS / MAGNO SANT ANNA,IVETE SANGALO,FUNDO MUSICAL,100.00%,781.92,,,,True,artist_alias,Relatório Solicitação
UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA DO RATINHO (REPRISE),3466,REPRISE,PROGRAMA,05/01/2024,EU VOU SEGUIR,DUDU FALCAO / DIANE WARREN / MARINA ELALI / GLORIA M ESTEFAN,MARINA ELALI,PERFORMANCE,50.00%,195.48,,,,True,artist_alias,Relatório Solicitação
BMG RIGHTS MANAGEMENT BRASIL LTDA,PROGRAMA DO RATINHO (REPRISE),3466,REPRISE,PROGRAMA,05/01/2024,EU VOU SEGUIR,DUDU FALCAO / DIANE WARREN / MARINA ELALI / GLORIA M ESTEFAN,MARINA ELALI,PERFORMANCE,50.00%,195.48,,,,True,artist_alias,Relatório Solicitação
IRMÃOS VITALE EDITORES LTDA,PROGRAMA DO RATINHO (REPRISE),3466,REPRISE,PROGRAMA,05/01/2024,O XOTE DAS MENINAS,JOSE DE SOUZA DANTAS FILHO / LUIZ GONZAGA DO NASCIMENTO,MARINA ELALI,PERFORMANCE,100.00%,390.96,,,,True,artist_alias,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO (REPRISE),3474,REPRISE,PROGRAMA,17/01/2024,TALISMÃ,PAULO MASSADAS / MICHAEL SULIVAN,LEONARDO,PERFORMANCE,100.00%,390.96,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,A PRAÇA É NOSSA (REPRISE),1755,REPRISE,PROGRAMA,26/01/2024,TEMPO DE ALEGRIA,Costa Silva Filipe / De Sant Anna Carlos Magno / Santos Neilton Cerqueira Dos,IVETE SANGALO,FUNDO MUSICAL,100.00%,781.92,,,,True,artist_alias,Relatório Solicitação
IESSI MUSIC LABEL LTDA,PROGRAMA SILVIO SANTOS (REPRISE),786,REPRISE,PROGRAMA,28/01/2024,NA BASE DO BEIJO,RITA MENDES / ALAIM TAVARES,IVETE SANGALO,FUNDO MUSICAL,50.00%,390.96,,,,True,artist_alias,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),786,REPRISE,PROGRAMA,28/01/2024,NA BASE DO BEIJO,RITA MENDES / ALAIM TAVARES,IVETE SANGALO,FUNDO MUSICAL,50.00%,390.96,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,LET'S GO 3,DAVI JOSE XAVIER PAIVA / GABRIEL PORTO DOS SANTOS / GUILHERME SERGIO RAMOS DE SOUZA / LUCAS COSTA DOS SANTOS / MAKALO / PAULO ALEXANDRE MARQUES SANTOS / PEDRO HENRIQUE DE OLIVEIRA ROCHA / RYAN SANTANA DOS SANTOS,MC RYAN SP,FUNDO MUSICAL,37.50%,293.22,,,,True,artist_alias,Relatório Solicitação
SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,LET'S GO 3,DAVI JOSE XAVIER PAIVA / GABRIEL PORTO DOS SANTOS / GUILHERME SERGIO RAMOS DE SOUZA / LUCAS COSTA DOS SANTOS / MAKALO / PAULO ALEXANDRE MARQUES SANTOS / PEDRO HENRIQUE DE OLIVEIRA ROCHA / RYAN SANTANA DOS SANTOS,MC RYAN SP,FUNDO MUSICAL,62.50%,488.7,,,,True,artist_alias,Relatório Solicitação
DIVERSAS,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,FELINA,LIMA VINICIUS WILLIAM SALES DE / MC 2N SP / OLDILLA,MC RYAN SP,PERFORMANCE,66.67%,260.65,,,,True,artist_alias,Relatório Solicitação
WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,FELINA,LIMA VINICIUS WILLIAM SALES DE / MC 2N SP / OLDILLA,MC RYAN SP,PERFORMANCE,33.33%,130.31,,,,True,artist_alias,Relatório Solicitação
