provider,file_stem,title,artist,valor_text,Valor (BRL),"Valor (BRL, sem centavos)",amount_cents
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MACETANDO,IVETE MARIA DIAS DE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR PEREIRA TRINDADE,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MACETANDO,IVETE MARIA DIAS DE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR PEREIRA TRINDADE,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MACETANDO,IVETE MARIA DIAS DE SANGALO / LUCIANO CHAVES DOS SANTOS / SAMIR PEREIRA TRINDADE,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,OI,BRUNO CALIMAN,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,139.39,139.39,139,13939
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERMELHO,GLORIA GROOVE / MC DALESTE / PABLO BISPO / RUXELL,697.26,697.26,697,69726
SBT,Unificado SBT nov dez 23 e jan fev mar 24,MACETANDO,IVERSON DE SOUZA ARAUJO,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,836.66,836.66,836,83666
SBT,Unificado SBT nov dez 23 e jan fev mar 24,VERDADE,CARLINHOS SANTANA / NELSON RUFINO,836.66,836.66,836,83666
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SÓ VOCÊ,CARLOS VINICIUS SILVA CANTUARIA VINICIUS CANTUARIA,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,LUA,ALOK ACHKAR PERES PETRILLO / ANA FLAVIA CASTELA / DIEGO FERRARI / EVERTON MATOS / FABIO PEREIRA DA SILVA / GUSTAVO DA HUNGRIA NEVES / MARCOS ROBERTO RIBEIRO CARVALHO / MATEUS FELIPE FELIX DA SILVA,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ME CHAMA,LOBAO,1673.31,1673.31,1673,167331
SBT,Unificado SBT nov dez 23 e jan fev mar 24,PERIGO,NICO REZENDE / PAULINHO LIMA,836.66,836.66,836,83666
SBT,Unificado SBT nov dez 23 e jan fev mar 24,PERIGO,NICO REZENDE / PAULINHO LIMA,836.66,836.66,836,83666
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SE JOGA,Riva Amarante Nogueira Sandro / Silva Ronaldo Jorge Da,836.65,836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,O MELHOR PRA MIM,FRANCA COSTA / SOARES,418.32,418.32,418,41832
SBT,Unificado SBT nov dez 23 e jan fev mar 24,O MELHOR PRA MIM,FRANCA COSTA / SOARES,418.32,418.32,418,41832
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIANA,FRED JORGE / PAUL ANKA,"836,65",836.65,836,83665
SBT,Unificado SBT nov dez 23 e jan fev mar 24,LIVRE,CESAR LEMOS,"390,96",390.96,390,39096
