TÍTULO ORIGINAL,TÍTULO LOCAL,DATA EXIBIÇÃO,HORÁRIO DE EXIBIÇÃO,NÚMERO EPISÓDIO/CAPÍTULO,TEMPORADA,TÍTULO ORIGINAL DO EPISÓDIO,TÍTULO LOCAL DO EPISÓDIO,PRODUTOR,ANO DE PRODUÇÃO,DIRETOR,ORDEM EXECUÇÃO,TÍTULO DA OBRA MUSICAL,TIPO DE MÚSICA,AUTOR,INTERPRETE,SEGUNDOS,CLASSIFICAÇÃO,COMPOSITOR(ES) DAS TRILHAS DO PROGRAMA,EDITORA,GRAVADORA,ISRC,SUBMIX / TIPO DE ARRANJO,__title_norm,__author_norm,__is_match,__sheet
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,3,MODO AVIAO,MUSICA COMERCIAL,"JEFFERSON JUNIOR,UMBERTO TAVARES",LUDMILLA,83,PE,,"BMG,BMG",,,,modo aviao,ludmilla,True,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,4,VERDADE,MUSICA COMERCIAL,"CARLINHOS SANTANA,NELSON RUFINO",ZECA PAGODINHO,74,PE,,"UNIVERSAL MGB,SONY MUSIC PUBLISHING",,,,verdade,zeca pagodinho,True,MusicCueSheet_Agosto23
CRIANCA ESPERANCA,CRIANÇA ESPERANÇA,07/08/2023,22:28:13,7082023,,CRIANCA ESPERANCA 2023,,GLOBO,2023.0,RAFAEL DRAGAUD E ANTONIA PRADO,7,SO VOCE,MUSICA COMERCIAL,VINICIUS CANTUARIA,"FABIO JR,DILSINHO",98,PE,,WARNER CHAPPELL,,,,so voce,"fabio jr,dilsinho",True,MusicCueSheet_Agosto23
MAIS VOCE,MAIS VOCÊ,07/08/2023,10:37:26,5876,,,,GLOBO,2023.0,VIVI DE MARCO,52,VERMELHO,MUSICA COMERCIAL,"DALESTE,GLORIA GROOVE,PABLO BISPO,RUXELL",GLORIA GROOVE,20,DM,,"UNIVERSAL MGB,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,vermelho,gloria groove,True,MusicCueSheet_Agosto23
VAI QUE COLA,,07/08/2023,03:49:32,BRAZILIAN PIE,,7ª TEMPORADA,,GLOBO,,,12,SUGAR,MUSICA COMERCIAL,"ADAM LEVINE,HENRY WALTER,JACOB HINDLIN,JOSHUA COLEMAN,LUKASZ GOTTWALD,MIKE POSNER",MAROON 5,16,BK,,"UNIVERSAL MGB,ABRAMUS,ABRAMUS,ABRAMUS,ABRAMUS,SONY MUSIC PUBLISHING",,,,sugar,maroon 5,True,MusicCueSheet_Agosto23
VAI QUE COLA,,07/08/2023,03:49:32,QUEM PAY DAY?,,7ª TEMPORADA,,GLOBO,,,3,FULERAGEM,MUSICA COMERCIAL,"DJ GEGE,MC WM",MC WM,66,BK,,"WARNER CHAPPELL,WARNER CHAPPELL",WM BRAZI,,,fuleragem,mc wm,True,MusicCueSheet_Agosto23
ENCONTRO,,08/08/2023,09:30:05,2852,,,,GLOBO,,,34,VERDADE,MUSICA COMERCIAL,"CARLINHOS SANTANA,NELSON RUFINO","ZECA PAGODINHO,LUDMILLA",7,DM,,"UNIVERSAL MGB,SONY MUSIC PUBLISHING",,,,verdade,"zeca pagodinho,ludmilla",True,MusicCueSheet_Agosto23
ALTAS HORAS,ALTAS HORAS,12/08/2023,22:20:11,1126,,,,GLOBO,2023.0,SERGINHO GROISMAN  ,22,ESPELHO,MUSICA COMERCIAL,"JOAO NOGUEIRA,PAULO CESAR PINHEIRO",BANDA ALTAS HORAS,29,PE,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,espelho,banda altas horas,True,MusicCueSheet_Agosto23
ALTAS HORAS,ALTAS HORAS,12/08/2023,22:20:11,1126,,,,GLOBO,2023.0,SERGINHO GROISMAN  ,25,AMIGO,MUSICA COMERCIAL,"ERASMO CARLOS,ROBERTO CARLOS",BANDA ALTAS HORAS,30,PE,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,amigo,banda altas horas,True,MusicCueSheet_Agosto23
CAPITAL MOTO WEEK,,12/08/2023,14:05:44,12082023,,2023,,GLOBO,,,17,CARRY ON,MUSICA COMERCIAL,ANDRE MATOS,ANGRA,148,PE,,A DESCOBRIR,,,,carry on,angra,True,MusicCueSheet_Agosto23
VIIIXE 2023,,12/08/2023,,12082023,,BELO HORIZONTE,,,,,1,LETICIA,MUSICA COMERCIAL,"DUGUINHO DO ACORDEON,JOTA REIS,SAMIR TRINDADE,SAYMON MARQUES",ZE VAQUEIRO,162,PE,,"BERGER PRODUCOES,SONY MUSIC PUBLISHING,WARNER CHAPPELL,WARNER CHAPPELL",,,,leticia,ze vaqueiro,True,MusicCueSheet_Agosto23
VIIIXE 2023,,12/08/2023,,12082023,,BELO HORIZONTE,,,,,7,MEIA NOITE,MUSICA COMERCIAL,"VALTER DANADAO,ZE MALHADA",TARCISIO DO ACORDEON,138,PE,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,meia noite,tarcisio do acordeon,True,MusicCueSheet_Agosto23
VIIIXE 2023,,12/08/2023,,12082023,,BELO HORIZONTE,,,,,12,AQUELAS COISAS,MUSICA COMERCIAL,"DANIEL MENDES,DANIEL MENDES,WASHINGTON JR",JOAO GOMES,132,PE,,"SUA MUSICA DIGITAL,WARNER CHAPPELL,SUA MUSICA DIGITAL",,,,aquelas coisas,joao gomes,True,MusicCueSheet_Agosto23
VAI QUE COLA,VAI QUE COLA,13/08/2023,23:47:46,BODAS DE PURPURINA,,10ª TEMPORADA,,GLOBO,2023.0,CARLO MILANI E ERNESTO PICCOLO,17,VERMELHO,MUSICA COMERCIAL,"DALESTE,GLORIA GROOVE,PABLO BISPO,RUXELL",GLORIA GROOVE,32,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,WARNER CHAPPELL,WARNER CHAPPELL",,,,vermelho,gloria groove,True,MusicCueSheet_Agosto23
FUZUE - REEXIBICAO 2023,,14/08/2023,01:35:02,1,,,,GLOBO,,,41,FELICIDADE,MUSICA COMERCIAL,"CHICO CESAR,MARCELO JENECI",ELBA RAMALHO,74,TP,,"DECK,WARNER CHAPPELL",ACAUA PRODUTORA,,FULL MIX,felicidade,elba ramalho,True,MusicCueSheet_Agosto23
VAI QUE COLA,,15/08/2023,03:29:58,PARQUE AQUATICO,,2ª TEMPORADA,,GLOBO,,,11,PEGANDO FOGO,MUSICA COMERCIAL,"FRANCISCO MATTOSO,JOSE MARIA DE ABREU",MARCUS MAJELLA,24,PE,,"VITALE,VITALE",,,,pegando fogo,marcus majella,True,MusicCueSheet_Agosto23
VAI QUE COLA,,15/08/2023,03:29:58,PARQUE AQUATICO,,2ª TEMPORADA,,GLOBO,,,13,PSICOSE,MUSICA COMERCIAL,TONINHO,ECLIPSE SOUL,5,BK,,WARNER CHAPPELL,,,,psicose,eclipse soul,True,MusicCueSheet_Agosto23
VAI QUE COLA,,17/08/2023,02:38:30,THE DEPOSIT,,7ª TEMPORADA,,GLOBO,,,8,MARACUTAIA,MUSICA COMERCIAL,"DAVID CORCOS,KAROL CONKA,LAUDZ,ZEGON",KAROL CONKA,103,BK,,"DAVID O MARROQUINO,SONY MUSIC PUBLISHING,BMG,BMG",,,,maracutaia,karol conka,True,MusicCueSheet_Agosto23
VAI QUE COLA,,18/08/2023,02:37:46,MEIER SUSTENTAVEL,,7ª TEMPORADA,,GLOBO,,,3,BANHO DE ESPUMA,MUSICA COMERCIAL,"RITA LEE,ROBERTO DE CARVALHO",RITA LEE,21,BK,,"WARNER CHAPPELL,WARNER CHAPPELL",,,,banho de espuma,rita lee,True,MusicCueSheet_Agosto23
VAI QUE COLA,,18/08/2023,02:37:46,MEIER SUSTENTAVEL,,7ª TEMPORADA,,GLOBO,,,9,MARIA,MUSICA COMERCIAL,"IAN BLAKE,K C PORTER,LUIZ GOMES ESCOLAR",RICKY MARTIN,97,BK,,"SONY MUSIC PUBLISHING,UNIVERSAL MGB,FERMATA",,,,maria,ricky martin,True,MusicCueSheet_Agosto23
