provider,supplier_file,sheet,supplier_title,supplier_artist,matched_term,matched_identifier,match_type
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Dna,"Kills, The",DNA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Mc João,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Mc João,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Mc João,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Mc João,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Mc João,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Baile De Favela,Mc João,BAILE DE FAVELA,T-303.383.693-6,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,De Novo,Vitor Kley,DE NOVO,T-319.876.158-5,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Socadona,Participantes,SOCADONA,T-305.217.548-7,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Socadona,Participantes,SOCADONA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Praia,Murilo Huff,PRAIA,,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Maravilhosa,Banda,MARAVILHOSA,T-306.797.414-1,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Sexto Sentido,Joao Lucas,SEXTO SENTIDO,T-039.311.527-9,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Balanco,Nacao Zumbi,BALANCO,T-039.828.191-8,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Maria,Ricky Martin,MARIA,T-307.006.304-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Maria,Ricky Martin,MARIA,T-311.953.638-4,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Ei Moto Taxi,"Dj Dn O Astro,Dj Mts,Mc Monik Do Pix",EI MOTO TAXI,T-330.716.394-2,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,A Danca,Mc Hariel,A DANÇA,T-309.492.339-0,title_only
clean unified,Planilha UNA.xlsx,Relatório UBEM - Canal Brasil,Me Chama,Lobao,ME CHAMA,T-311.953.645-3,title_only
